Running ./MiniRTS_bench
Run on (6 X 4000 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x6)
  L1 Instruction 32 KiB (x6)
  L2 Unified 256 KiB (x6)
  L3 Unified 9216 KiB (x1)
Load Average: 4.86, 3.95, 1.67
----------------------------------------------------------------------------------------------------
Benchmark                                          Time             CPU   Iterations UserCounters...
BM_Enqueue_Overhead_1_000_000/1/65536           1043 ms          918 ms            1 QueueCapacity=65.536k Threads=1 Throughput_Mops=0.959081 overhead_ns_per_task=42.6647
BM_Enqueue_Overhead_1_000_000/1/262144          1039 ms          580 ms            1 QueueCapacity=262.144k Threads=1 Throughput_Mops=0.962689 overhead_ns_per_task=38.7566
BM_Enqueue_Overhead_1_000_000/1/1048576         1038 ms         67.6 ms           10 QueueCapacity=1.04858M Threads=1 Throughput_Mops=0.963576 overhead_ns_per_task=37.8008
BM_Enqueue_Overhead_1_000_000/2/64               536 ms          536 ms            1 QueueCapacity=64 Threads=2 Throughput_Mops=1.86645 overhead_ns_per_task=35.7775
BM_Enqueue_Overhead_1_000_000/2/256              537 ms          537 ms            1 QueueCapacity=256 Threads=2 Throughput_Mops=1.86123 overhead_ns_per_task=37.2787
BM_Enqueue_Overhead_1_000_000/2/1024             534 ms          532 ms            1 QueueCapacity=1.024k Threads=2 Throughput_Mops=1.874 overhead_ns_per_task=33.6177
BM_Enqueue_Overhead_1_000_000/2/4096             534 ms          530 ms            1 QueueCapacity=4.096k Threads=2 Throughput_Mops=1.87405 overhead_ns_per_task=33.6036
BM_Enqueue_Overhead_1_000_000/2/16384            534 ms          515 ms            1 QueueCapacity=16.384k Threads=2 Throughput_Mops=1.87324 overhead_ns_per_task=33.8339
BM_Enqueue_Overhead_1_000_000/2/65536            538 ms          462 ms            2 QueueCapacity=65.536k Threads=2 Throughput_Mops=1.85987 overhead_ns_per_task=37.6725
BM_Enqueue_Overhead_1_000_000/2/262144           546 ms          180 ms            9 QueueCapacity=262.144k Threads=2 Throughput_Mops=1.83286 overhead_ns_per_task=45.5946
BM_Enqueue_Overhead_1_000_000/2/1048576          550 ms         65.0 ms           11 QueueCapacity=1.04858M Threads=2 Throughput_Mops=1.8172 overhead_ns_per_task=50.2974
BM_Enqueue_Overhead_1_000_000/3/64               365 ms          365 ms            2 QueueCapacity=64 Threads=3 Throughput_Mops=2.73839 overhead_ns_per_task=32.1784
BM_Enqueue_Overhead_1_000_000/3/256              360 ms          360 ms            2 QueueCapacity=256 Threads=3 Throughput_Mops=2.76632 overhead_ns_per_task=28.4911
BM_Enqueue_Overhead_1_000_000/3/1024             361 ms          359 ms            2 QueueCapacity=1.024k Threads=3 Throughput_Mops=2.77438 overhead_ns_per_task=27.4412
BM_Enqueue_Overhead_1_000_000/3/4096             360 ms          355 ms            2 QueueCapacity=4.096k Threads=3 Throughput_Mops=2.78193 overhead_ns_per_task=26.4626
BM_Enqueue_Overhead_1_000_000/3/16384            358 ms          338 ms            2 QueueCapacity=16.384k Threads=3 Throughput_Mops=2.78543 overhead_ns_per_task=26.0105
BM_Enqueue_Overhead_1_000_000/3/65536            370 ms          279 ms            3 QueueCapacity=65.536k Threads=3 Throughput_Mops=2.71612 overhead_ns_per_task=35.1724
BM_Enqueue_Overhead_1_000_000/3/262144           377 ms         71.2 ms            8 QueueCapacity=262.144k Threads=3 Throughput_Mops=2.65622 overhead_ns_per_task=43.4749
BM_Enqueue_Overhead_1_000_000/3/1048576          381 ms         81.4 ms            8 QueueCapacity=1.04858M Threads=3 Throughput_Mops=2.62541 overhead_ns_per_task=47.8932
BM_Enqueue_Overhead_1_000_000/4/64               280 ms          280 ms            3 QueueCapacity=64 Threads=4 Throughput_Mops=3.56425 overhead_ns_per_task=30.5639
BM_Enqueue_Overhead_1_000_000/4/256              277 ms          277 ms            3 QueueCapacity=256 Threads=4 Throughput_Mops=3.60013 overhead_ns_per_task=27.7679
